"S","A1","A2","P0","P1","P2","R1","R2","Q","t","N"
43.0459186861975,0,0,157.983463013678,4.02374760310707e-08,0,0,0,8,1,200
43.0229067637764,0,0,157.984089809137,3.8319577000946e-08,0,0,0,8,2,200
42.9998948434469,0,0,157.984716604662,3.64016774639554e-08,0,0,0,8,3,200
42.9768826568051,0,0,157.985343421182,3.4483727290251e-08,0,0,0,8,4,200
42.953869935447,0,0,157.985970279628,3.25656763499849e-08,0,0,0,8,5,200
42.9308564109686,0,0,157.98659720093,3.0647474513309e-08,0,0,0,8,6,200
42.907841814966,0,0,157.987224206018,2.87290716503753e-08,0,0,0,8,7,200
42.8848258790353,0,0,157.987851315822,2.6810417631336e-08,0,0,0,8,8,200
42.8618082682102,0,0,157.98847855596,2.48914518668985e-08,0,0,0,8,9,200
42.8387883812758,0,0,157.989105970803,2.29720719299923e-08,0,0,0,8,10,200
42.8157655504547,0,0,157.989733609411,2.10521649341022e-08,0,0,0,8,11,200
42.7927391079698,0,0,157.990361520844,1.91316179927132e-08,0,0,0,8,12,200
42.7697083860437,0,0,157.99098975416,1.72103182193101e-08,0,0,0,8,13,200
42.7466727168991,0,0,157.99161835842,1.5288152727378e-08,0,0,0,8,14,200
42.7236314327589,0,0,157.992247382683,1.33650086304017e-08,0,0,0,8,15,200
42.7005838062599,0,0,157.992876879163,1.14407677630637e-08,0,0,0,8,16,200
42.6775288716956,0,0,157.993506912697,9.51529084483719e-09,0,0,0,8,17,200
42.6544656037735,0,0,157.994137551277,7.58843331639284e-09,0,0,0,8,18,200
42.6313929772014,0,0,157.994768862896,5.66005061840138e-09,0,0,0,8,19,200
42.6083099666866,0,0,157.995400915545,3.72999819153355e-09,0,0,0,8,20,200
42.585215546937,0,0,157.996033777217,1.79813147646007e-09,0,0,0,8,21,200
42.5621086926601,0,0,157.996667515903,0,0,0,0,8,22,200
42.5389883785635,0,0,157.997302199596,0,0,0,0,8,23,200
42.515853533485,0,0,157.99793789752,0,0,0,0,8,24,200
42.4927029027832,0,0,157.998574683827,0,0,0,0,8,25,200
42.4695351859468,0,0,157.999212633902,0,0,0,0,8,26,200
42.4463490824647,0,0,157.99985182313,0,0,0,0,8,27,200
42.4231432918256,0,0.00753269565974868,158.000492326897,0,0,0,0,8,28,200
42.3999165135184,0,0.015508816107642,158.001134220587,0,0,0,0,8,29,200
42.3766674470318,0,0.0234885452432651,158.001777579584,0,0,0,0,8,30,200
